Membership No  Date Joined  Active  
    61781      2019-3-15    yes   
    77548      2018-6-12    no    
    61207      2020-12-23   no    
    16616      2016-6-25    no    
    27456      2017-8-10    no    
    83293      2017-8-18    no    
    28958      2017-1-25    yes   
    15883      2015-1-10    no    
    60125      2020-8-2     yes   
    89106      2019-8-24    yes   
    12330      2017-10-6    no    
    78953      2019-7-18    yes   
    86917      2016-1-22    yes   
    91215      2019-10-16   no    
    96541      2018-2-19    no    
    18388      2016-12-1    yes   
    78240      2019-11-1    no    
    87009      2016-12-2    yes   
    82693      2020-8-2     yes   
    72620      2017-3-19    no    
