Membership No  Date Joined  Active  
    40869      2020-4-20    no    
    47233      2016-11-4    no    
    48275      2018-3-22    no    
    72037      2016-2-22    yes   
    16178      2018-5-5     yes   
    59920      2018-8-12    no    
    65478      2020-7-18    yes   
    32610      2020-4-4     yes   
    71162      2017-2-17    yes   
    12846      2020-12-8    no    
    47268      2017-8-21    no    
    47844      2018-6-20    yes   
    98830      2015-3-9     no    
    52644      2019-11-8    yes   
    32982      2018-2-23    no    
    82709      2019-11-12   yes   
    36960      2017-3-23    no    
    54833      2018-6-23    yes   
    61687      2015-7-25    yes   
    62971      2018-7-10    no    
